Qty,Value,Footprint,References
3,100u,CP_Radial_D6.3mm_P2.50mm,C_GL;C_GR;C_VMOT
3,10u,CP_Radial_D6.3mm_P2.50mm,C_5VB;C_VNB;C_VPB
2,3u3,CP_Radial_D6.3mm_P2.50mm,C_OL;C_OR
4,100n,C_Disc_D5.0mm_W2.5mm_P5.00mm,C_5V;C_VIO;C_VN;C_VP
2,100p,C_Disc_D5.0mm_W2.5mm_P5.00mm,C_LDL;C_LDR
2,10n,C_Disc_D5.0mm_W2.5mm_P5.00mm,C_BL;C_BR
2,33n,C_Disc_D5.0mm_W2.5mm_P5.00mm,C_AL;C_AR
1,NE5532,DIP-8_W7.62mm,U2
1,POWER,LED_D5.0mm,D_PWR
1,RGB_MODE,LED_D5.0mm-4_RGB,D_RGB
4,M3,MountingHole_3.2mm_M3,H1;H2;H3;H4
1,LINE_OUT,PinHeader_1x03_P2.54mm_Vertical,J_OUT
1,CART_IN,PinHeader_1x05_P2.54mm_Vertical,J_CART
1,Nano_A,PinHeader_1x15_P2.54mm_Vertical,J1
1,Nano_B,PinHeader_1x15_P2.54mm_Vertical,J2
1,TMC2209,PinHeader_2x08_P2.54mm_Vertical,M1
1,10k_SPEED,Potentiometer_Alps_RK09K_Single_Vertical,RV1
2,100R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_OL;R_OR
2,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_AL;R_AR
4,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_GL;R_GR;R_PWR;R_UART
2,220R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_B;R_G
1,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_R
2,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_LDL;R_LDR
2,7k5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_BL;R_BR
1,MODE,SW_PUSH_6mm,SW1
1,PWR_24V,TerminalBlock_bornier-2_P5.08mm,J_PM
1,MOTOR,TerminalBlock_bornier-4_P5.08mm,J_MOT
1,PWR_5V_12V,TerminalBlock_bornier-4_P5.08mm,J_PL
